Crafted,Rarity,Recipe
Impaler's Spices,Rare ,
Soulbound Stone,Uncommon,
Soul Essence Extract,Epic,
Archdevil's Horn Shard,Rare ,
Infernal Guard Insignia,Uncommon,
Hellish Guard Ration,Common,
Soul Residue,Rare ,
Flayer's Dark Crystal,Epic,
Essence Of Torment,Uncommon,
Advisor's Cursed Tome Page,Rare ,
Archdevil Sigil,Epic,
Forbidden Knowledge Extract,Rare ,
Noble Demon Blood Vial,Rare ,
Shalazriel's Shadowflame Essence,Epic,
Assassin's Void Cloak Fragment,Legendary,
Lethal Poison Gland,Rare ,
Bael's Infernal Shard,Rare ,
Arch-Devil's Essence,Legendary,
Bael's Ambrosia,Epic,
Fang of the fallen god,,
Frozen Bone Shard,Common,
Parasitic Ice Crystal,Uncommon,
Divine Bone Dust,Rare ,
Faded Holy Essence,Uncommon,
Blessed Extract,Uncommon,
Spectral Residue,Common,
Decayed Light Essence,Rare ,
Ethereal Spice,Rare ,
Enchanted Tooth Shard,Uncommon,
Golem's Enamel Core,Rare ,
Crystallized enamel,Rare ,
Scavenger's Frost Claw,Common,
Glacial Scrap Metal,Uncommon,
Preserved Icy Meat,Uncommon,
Colossal Ice Fragment,Uncommon,
Frostbitten Giant's Blood,Rare ,
Frozen Colossus Heart,Epic,
Leviathan Crystal Scale,Rare ,
Purified Light Essence,Epic,
Crystalline Leviathan Fin,Rare ,
Core Energy Crystal,Rare ,
Remnant of Divinity,Epic,
Primordial Energy Extract,Epic,
Divine Light Shard,Rare ,
Elemental Purity Essence,Epic,
Luminous Ambrosia,Epic,
Concentrated Divine Wrath,Rare ,
Essence of the fallen god,Epic,
Echo of Creation,Epic,
Resonating Light Crystal,Rare ,
Whispering Light Nectar,Rare ,
Crystallized Memory Shard,Rare ,
Essence of Forgotten Divinity,Epic,
Mnemonic Elixir,Rare ,
Coagulated God Blood,Legendary,
Divine Hemoglobin Crystal,Rare ,
Radiant Chosen's Blessing,Epic,
Fragment of the Divine Path,Epic,
Elixir of the Gods,Mythical,
Chaotic Zone,,
Void Essence,Rare ,
Fiend's Chaotic Claw,Uncommon,
Dark Lightning Shard,Uncommon,
Thunderous Shadow Essence,Rare ,
Shadow Leech Fang,Uncommon,
Umbral gem,Rare ,
Essence of darkness,Rare ,
Abyssal Scales,Uncommon,
Dark Aqua Essence,Uncommon,
Murky Serpent Meat,Uncommon,
Hydra's Storm Scale,Uncommon,
Maelstrom Core,Epic,
Maelstrom-Infused Hydra flank,Rare ,
Ethereal Cloud Fragment,Rare ,
Wind Wyrm's Breath,Rare ,
Condensed Sky Essence,Rare ,
Bottled Lightning,Rare ,
Storm Entity Core,Epic,
Electrified Ether,Rare ,
Cyclone's Eye,Rare ,
Compressed Gale Force,Rare ,
Windswept Spice,Rare ,
Leviathan's Tidal Scale,Rare ,
Abyssal Ocean Essence,Rare ,
Deep Sea Muscle,Rare ,
Anomalous Static Crystal,Rare ,
Chaos-Charged Particle,Epic,
Strange Flavor Extract,Rare ,
Azure Prince's Trident Shard,Rare ,
Royal Abyssal Pearl,Epic,
Elixir of the Deep,Rare ,
Beyond Realm Fragment,Epic,
Extra-dimensional Energy Core,Epic,
Cosmic Chaos Extract,Epic,
Scale Of Axiom,Epic,
Primordial Water Essence,Epic,
Fulguron's Thunderous Fang,Epic,
Sky Dragon's Storm Heart,Legendary,
Anzurith's Earthen Crown piece,Epic,
Crystallized Demigod Essence,Legendary,
Gaia's Blessed Fruit,Mythical,
She'ol,,
Infernal Guard Plate,Uncommon,
Demon's Flame Essence,Rare ,
Spicy Demon Jerky,Uncommon,
Greater Demon Horn,Rare ,
Concentrated Hellfire,Rare ,
Demon's Heart,Rare ,
Sinner's Regret Crystal,Rare ,
Bittersweet  Fruit,Uncommon,
Lesser Ones Claw,Uncommon,
Impure Hellstone,Uncommon,
All-Seeing Eye,Epic,
Crystallized Sin,Epic,
Shattered Greater Soul,Rare ,
Essence of Despair,Epic,
Broken Dreams Brew,Rare ,
Demonic Royal Insignia,Uncommon,
Hellforged Armor Fragment,Uncommon,
Knight's Infernal Ration,Uncommon,
Prophet's Cursed Scroll,Rare ,
Void Prophecy Stone,Rare ,
Enlightened Darkness Essence,Epic,
Essence of Authority,Epic,
Luxurious Demon Wine,Rare ,
Arch-Devil's Horn,Rare ,
Concentrated Evil Essence,Rare ,
Devil Lord's Heart,Epic,
Broken Halo Shard,Epic,
Corrupted Divine Feather,Epic,
Ambrosia of the Fallen,Legendary,
Apostle's Corrupted Relic,Legendary,
Essence of Betrayal,Epic,
Fruit of Knowledge,Rare ,
Noble's Sinful Crown,Epic,
Crystallized Cardinal Sin,Legendary,
Seven Deadly Spices,Epic,
She'ol,,
Shattered Divine Essence,Epic,
Fractured Eternity Shard,Epic,
Demigod's Tears,Rare ,
Cosmic Dust,Epic,
Astral Memory,Epic,
Star-Infused Nectar,Rare ,
Singularity Core,Legendary,
Reality-Warped Metal,Epic,
Gravity-Defying Morsel,Epic,
Temporal Echo Crystal,Rare ,
Paradox Essence,Epic,
Timeless Preserves,Rare ,
Spatial Distortion Fragment,Rare ,
Void-Touched Matter,Epic,
Infinitely Expanding Snack,Epic,
Rage-Infused Divine Blood,Legendary,
Chaotic Godflesh,Epic,
Fury-Spiced Meat,Rare ,
Eternal Stone Fragment,Epic,
Colossus' Timeless Essence,Epic,
Beyond Realm Substance,Epic,
Reality-Defying Matter,Legendary,
Semi-Divine Essence,Epic,
Ascension Catalyst,Legendary,
Shards of Divinity,Epic,
God's Broken Dream,Epic,
Amalgamated Divine Core,Legendary,
Essence of Unified Godhood,Mythical,
Primordial God Essence,Mythical,
Relic of a Forgotten Pantheon,Mythical,
Cosmic Dragon Scale,Epic,
Universe Seed,Epic,
Breath of Creation,Epic,
Grand Palace Of She'ol,,
Crystallized Envy,Epic,
Covetous Essence,Epic,
Bitter Jealousy Extract,Epic,
Insatiable Desire,Epic,
Golden Greed Residue,Epic,
Midas Touch Spice,Epic,
Bottomless Stomach Lining,Epic,
Essence of Overconsumption,Epic,
Lethargic Aura Crystal,Epic,
Sloth's Peaceful Essence,Epic,
Effortless Nourishment,Epic,
Passionate Desire Shard,Legendary,
Essence of Temptation,Epic,
Shard of Inflated Ego,Epic,
Essence of Superiority,Epic,
Concentrated Disdain,Epic,
Mastermind's Plot Thread,Mythical,
Essence of Cunning,Epic,
Immature Wisdom Crystal,Epic,
Essence of False Knowledge,Legendary,
Shard of Scorned Blessings,Epic,
Essence of Ingratitude,Epic,
Shadow Realm Fragment,Legendary,
Concentrated Darkness,Epic,
Lilith's Seductive Feather,Mythical,
Essence of the First Temptress,Legendary,
Forbidden Fruit Extract,Epic,
Belial's Deceptive Horn,Mythical,
Essence of Lawlessness,Epic,
Lies and Half-Truths Brew,Epic,
Eisheth's Chaos Feather,Mythical,
Essence of Disorder,Epic,
Pandemonium Spice,Epic,
Asmodeus' Lustful Wing,Mythical,
Essence of Carnal Desire,Epic,
Irresistible Temptation Elixir,Epic,
Xaphan's Hellfire Feather,Mythical,
Essence of Unholy Fire,Legendary,
Infernal Flame Sauce,Epic,
Prime Evil Essence,Mythical,
Outside Eternity,,
Abstract Thought Fragment,Epic,
Primal Fear Manifestation,Legendary,
Paradox Particle,Legendary,
Temporal Contradiction Loop,Legendary,
Nullspace Matter,Legendary,
Non-Existent Entity Residue,Legendary,
Corrupted Reality Shard,Epic,
Matrix Error Code,Legendary,
Concentrated Chaos Vortex,Legendary,
Entropy Crystal,Epic,
Unraveled Cosmic String,Legendary,
Reality Weaver's Spindle,Legendary,
Fragment of the  Oblivion,Legendary,
Finality Conceptualization,Mythical,
Corroded Eternity Shard,Epic,
Universal Decay Catalyst,Mythical,
Shard of Blinding Darkness,Legendary,
Paradox Light Prism,Mythical,
Crystal of Infinite Knowledge,Legendary,
Cosmic Understanding Codex,Mythical,
Mind-Expanding Elixir,Epic,
Paradoxical Flame Ice,Mythical,
Eternal Engine,Legendary,
Liquid Solid Fragment,Mythical,
Impossibility State Generator,Legendary,
Shard of Compassionate Retribution,Mythical,
Just Mercy Paradigm,Legendary,
Fragment of Painful Redemption,Mythical,
Torturous Deliverance Mechanism,Legendary,
Primordial Void Canvas,Omnific,
Existential Ink,Mythical,
Negative Creation Seal,Mythical,
Genesis Brush,Omnific,
Chromatic Void Pigments,Mythical,
Duality Shaper,Legendary,
